,Unnamed: 0,District,Mandal,Village,Latitude,Longitude,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,ndvi,arvi,evi,gci,ndwi
48,48,Anantapur,Penukonda,Kondampalli,14.13,77.65,Redsoil,8.81,0.52,0.50,4.01,129,2619,702,36.22,0.35,1.37,7.25,0.97,1.92,G.Nut,0.2732426303854875,0.07819521840733418,0.5615752068041477,1.163776493256262,-0.36784409257003653
49,49,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.07,0.5,0.91,28.68,140,2129,355,18.47,2.85,1.22,2.33,0.52,4.47,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
50,50,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.25,0.24,0.66,6.31,116,2894,566,14.70,0.46,1.02,16.77,1.17,4.12,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
51,51,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.0,0.65,0.41,13.32,89,1740,201,62.96,0.51,0.88,2.88,0.4,8.17,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
52,52,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.32,0.15,0.49,9.39,145,3009,466,4.64,0.3,0.74,11.14,1.17,3.65,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
53,53,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.44,0.07,0.17,3.51,37,831,130,2.25,0.13,0.25,3.1,0.2,6.99,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
54,54,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.22,1.32,0.53,4.74,82,4097,1135,93.97,0.4,1.00,9.41,1.13,1.84,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
55,55,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,8.35,0.53,0.34,5.15,114,3283,354,40.19,0.5,0.59,27.92,1.87,7.33,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
56,56,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.19,1.61,0.50,132.06,193,3104,1179,181.16,0.67,0.94,19.59,1.73,9.52,G.Nut,0.14995483288166214,-0.08644826093231346,0.18050345240036972,1.3145454545454545,-0.3965990126165661
57,57,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,8.15,0.07,0.18,10.31,83,489,63,5.13,0.44,0.29,6.94,0.55,14.91,G.Nut,0.17264957264957265,-0.05331882480957562,0.2284809410700147,1.2491803278688525,-0.384460141271443
